Team,W,L,W/L%,PS/G,PA/G,SRS,Season,Conference
CHICAGO BULLS,41,41,.500,102.9,102.4,0.03,2016-2017,East
DETROIT PISTONS,37,45,.451,101.3,102.5,-1.29,2016-2017,East
WASHINGTON WIZARDS,49,33,.598,109.2,107.4,1.36,2016-2017,East
ATLANTA HAWKS,43,39,.524,103.2,104.0,-1.23,2016-2017,East
MIAMI HEAT,41,41,.500,103.2,102.1,0.77,2016-2017,East
CHARLOTTE HORNETS,36,46,.439,104.9,104.7,-0.07,2016-2017,East
ORLANDO MAGIC,29,53,.354,101.1,107.6,-6.61,2016-2017,East
TORONTO RAPTORS,59,23,.720,111.7,103.9,7.29,2017-2018,East
BOSTON CELTICS,55,27,.671,104.0,100.4,3.23,2017-2018,East
PHILADELPHIA 76ERS,52,30,.634,109.8,105.3,4.30,2017-2018,East
NEW YORK KNICKS,29,53,.354,104.5,108.0,-3.53,2017-2018,East
BROOKLYN NETS,28,54,.341,106.6,110.3,-3.67,2017-2018,East
CLEVELAND CAVALIERS,50,32,.610,110.9,109.9,0.59,2017-2018,East
INDIANA PACERS,48,34,.585,105.6,104.2,1.18,2017-2018,East
MILWAUKEE BUCKS,44,38,.537,106.5,106.8,-0.45,2017-2018,East
DETROIT PISTONS,39,43,.476,103.8,103.9,-0.26,2017-2018,East
CHICAGO BULLS,27,55,.329,102.9,110.0,-6.84,2017-2018,East
MIAMI HEAT,44,38,.537,103.4,102.9,0.15,2017-2018,East
WASHINGTON WIZARDS,43,39,.524,106.6,106.0,0.53,2017-2018,East
CHARLOTTE HORNETS,36,46,.439,108.2,108.0,0.07,2017-2018,East
ORLANDO MAGIC,25,57,.305,103.4,108.2,-4.92,2017-2018,East
ATLANTA HAWKS,24,58,.293,103.4,108.8,-5.30,2017-2018,East
TORONTO RAPTORS,58,24,.707,114.4,108.4,5.49,2018-2019,East
PHILADELPHIA 76ERS,51,31,.622,115.2,112.5,2.25,2018-2019,East
BOSTON CELTICS,49,33,.598,112.4,108.0,3.90,2018-2019,East
BROOKLYN NETS,42,40,.512,112.2,112.3,-0.40,2018-2019,East
NEW YORK KNICKS,17,65,.207,104.6,113.8,-8.93,2018-2019,East
MILWAUKEE BUCKS,60,22,.732,118.1,109.3,8.04,2018-2019,East
INDIANA PACERS,48,34,.585,108.0,104.7,2.76,2018-2019,East
DETROIT PISTONS,41,41,.500,107.0,107.3,-0.56,2018-2019,East
CHICAGO BULLS,22,60,.268,104.9,113.4,-8.32,2018-2019,East
CLEVELAND CAVALIERS,19,63,.232,104.5,114.1,-9.39,2018-2019,East
ORLANDO MAGIC,42,40,.512,107.3,106.6,0.28,2018-2019,East
CHARLOTTE HORNETS,39,43,.476,110.7,111.8,-1.32,2018-2019,East
MIAMI HEAT,39,43,.476,105.7,105.9,-0.45,2018-2019,East
WASHINGTON WIZARDS,32,50,.390,114.0,116.9,-3.30,2018-2019,East
ATLANTA HAWKS,29,53,.354,113.3,119.4,-6.06,2018-2019,East
TORONTO RAPTORS,53,19,.736,112.8,106.5,5.97,2019-2020,East
BOSTON CELTICS,48,24,.667,113.7,107.3,5.83,2019-2020,East
PHILADELPHIA 76ERS,43,30,.589,110.7,108.4,2.25,2019-2020,East
BROOKLYN NETS,35,37,.486,111.8,112.3,-1.01,2019-2020,East
NEW YORK KNICKS,21,45,.318,105.8,112.3,-6.72,2019-2020,East
MILWAUKEE BUCKS,56,17,.767,118.7,108.6,9.41,2019-2020,East
INDIANA PACERS,45,28,.616,109.4,107.5,1.63,2019-2020,East
CHICAGO BULLS,22,43,.338,106.8,109.9,-4.00,2019-2020,East
DETROIT PISTONS,20,46,.303,107.2,110.8,-4.38,2019-2020,East
CLEVELAND CAVALIERS,19,46,.292,106.9,114.8,-7.77,2019-2020,East
MIAMI HEAT,44,29,.603,112.0,109.1,2.59,2019-2020,East
ORLANDO MAGIC,33,40,.452,107.3,108.3,-0.93,2019-2020,East
CHARLOTTE HORNETS,23,42,.354,102.9,109.6,-7.03,2019-2020,East
WASHINGTON WIZARDS,25,47,.347,114.4,119.1,-5.24,2019-2020,East
ATLANTA HAWKS,20,47,.299,111.8,119.7,-7.71,2019-2020,East
UTAH JAZZ,55,27,.671,96.5,92.0,4.52,1999-2000,West
SAN ANTONIO SPURS,53,29,.646,96.2,90.2,5.92,1999-2000,West
MINNESOTA TIMBERWOLVES,50,32,.610,98.5,96.0,2.67,1999-2000,West
DALLAS MAVERICKS,40,42,.488,101.4,102.0,-0.29,1999-2000,West
DENVER NUGGETS,35,47,.427,99.0,101.1,-1.76,1999-2000,West
HOUSTON ROCKETS,34,48,.415,99.5,100.3,-0.57,1999-2000,West
VANCOUVER GRIZZLIES,22,60,.268,93.9,99.5,-5.10,1999-2000,West
LOS ANGELES LAKERS,67,15,.817,100.8,92.3,8.41,1999-2000,West
PORTLAND TRAIL BLAZERS,59,23,.720,97.5,91.0,6.36,1999-2000,West
PHOENIX SUNS,53,29,.646,98.9,93.7,5.24,1999-2000,West
SEATTLE SUPERSONICS,45,37,.549,99.1,98.1,1.17,1999-2000,West
SACRAMENTO KINGS,44,38,.537,105.0,102.0,3.04,1999-2000,West
GOLDEN STATE WARRIORS,19,63,.232,95.5,103.8,-7.63,1999-2000,West
LOS ANGELES CLIPPERS,15,67,.183,92.0,103.5,-10.73,1999-2000,West
SAN ANTONIO SPURS,58,24,.707,96.2,88.4,7.92,2000-2001,West
UTAH JAZZ,53,29,.646,97.1,92.4,5.00,2000-2001,West
DALLAS MAVERICKS,53,29,.646,100.5,96.2,4.61,2000-2001,West
MINNESOTA TIMBERWOLVES,47,35,.573,97.3,96.0,1.81,2000-2001,West
HOUSTON ROCKETS,45,37,.549,97.2,94.9,2.71,2000-2001,West
DENVER NUGGETS,40,42,.488,96.6,99.0,-1.83,2000-2001,West
VANCOUVER GRIZZLIES,23,59,.280,91.7,97.5,-4.94,2000-2001,West
LOS ANGELES LAKERS,56,26,.683,100.6,97.2,3.74,2000-2001,West
SACRAMENTO KINGS,55,27,.671,101.7,95.9,6.07,2000-2001,West
PHOENIX SUNS,51,31,.622,94.0,91.8,2.63,2000-2001,West
PORTLAND TRAIL BLAZERS,50,32,.610,95.4,91.2,4.52,2000-2001,West
SEATTLE SUPERSONICS,44,38,.537,97.3,97.3,0.55,2000-2001,West
LOS ANGELES CLIPPERS,31,51,.378,92.5,95.3,-2.23,2000-2001,West
GOLDEN STATE WARRIORS,17,65,.207,92.5,101.5,-8.11,2000-2001,West
SAN ANTONIO SPURS,58,24,.707,96.7,90.5,6.28,2001-2002,West
DALLAS MAVERICKS,57,25,.695,105.2,101.0,4.41,2001-2002,West
